,Actual,Predicted
Count,8717.0,8717.0
Mean,3.12190352185385,3.2100357473508483
STD,4.336036755103546,2.58973455012812
Min,0.056,0.5788205689420051
25%,1.792,2.0585
50%,2.807,3.034936569041095
75%,4.049,4.152780251714292
Max,245.992,116.1563294152659
MSE,23.65364417607949,
RMSE,4.8635012260797765,
MAE,1.2822933792976425,
