"TN","TP","DO","TURB","COND","VEL","SS","WDP","CHLcal","SECCHI"
NA,NA,8.7,9,802,0,10.1,1.26,15.73696,72
2.029,0.416,13.1,11,769,0,11.7,0.33,22.69212,33
NA,NA,11.1,12,801,0,9.9,0.29,17.76188,29
NA,NA,13.1,4,515,0,3.4,0.39,0.15388,39
NA,NA,15.6,13,310,0,19.5,0.92,32.9928,60
NA,NA,14,15,325,0,20.3,0.95,43.1174,51
NA,NA,14.4,13,330,0,18.2,0.82,34.13732,50
NA,NA,14.6,16,330,0,22.2,0.68,40.9164,45
1.035,0.24,7.4,9,251,0,10.4,0.42,7.54924,42
NA,NA,12,23,260,0,37.3,0.29,59.58088,29
NA,NA,13.6,12,251,0.3,24.5,1.79,67.7686,61
1.388,0.128,15,17,251,0.06,32.9,0.5,72.87492,40
1.627,0.318,3.3,17,407,0,12.6,0.21,8.25356,21
NA,NA,13.3,16,259,0,22.5,0.25,56.23536,25
NA,NA,14.1,12,251,0.32,21.6,1.41,67.15232,66
NA,NA,9.6,NA,240,0,NA,0.18,NA,18
NA,NA,14.1,11,247,0,20.6,0.29,77.71712,29
1.318,0.153,7.4,10,319,0,12.3,0.22,16.17716,22
1.207,0.093,13.1,10,251,0.16,20.7,1.72,65.03936,66
1.247,0.097,12.8,11,252,0.32,19.9,1.13,53.15396,68
NA,NA,14.3,9,268,0.18,17.4,0.57,61.07756,57
NA,NA,14.8,NA,277,0,NA,0.22,NA,22
NA,NA,13.3,13,341,0,12.9,0.33,23.39644,33
1.094,0.17,10.4,15,235,0,18.4,0.5,14.9446,39
NA,NA,13.1,10,252,0.43,18.5,3.5,57.37988,69
NA,NA,13.5,10,249,0.21,19.7,4.4,69.5294,56
NA,NA,11.8,11,250,0.13,19.7,5.7,52.09748,70
NA,NA,12.1,9,260,0.55,17.1,6,52.62572,76
NA,NA,11.9,10,251,0.48,19.7,4.8,52.18552,69
1.38,0.134,12.1,11,264,0.25,19.3,0.72,64.77524,69
1.726,0.206,12,10,262,0,16.1,1.28,63.71876,73
NA,NA,12.3,10,266,0.25,16.4,4.2,58.87656,75
1.289,0.093,12,10,266,0.19,17.9,6.9,61.34168,70
NA,NA,13,13,268,0.16,28.5,0.5,72.25864,50
NA,NA,12.2,11,267,0.22,16.8,2.7,56.58752,75
1.35,0.096,11.9,10,259,0.59,18.7,4.6,68.73704,65
1.305,0.097,11.7,12,267,0.11,20.9,0.82,61.6058,70
NA,NA,12.2,9,268,0.19,17.7,2.9,58.9646,70
1.402,0.138,12.2,11,260,0.64,19.4,4.8,69.0892,63
1.269,0.106,12.5,13,256,0.59,22.4,5.2,74.01944,62
1.303,0.12,12.7,14,255,0.48,23.7,3.3,68.82508,65
1.228,0.113,12.6,13,253,0.17,22.1,7.9,75.16396,65
NA,NA,11.5,18,230,0.02,28.4,4.6,52.00944,53
1.186,0.144,13.7,19,229,0.24,30.4,1.19,63.19052,55
NA,NA,11.3,26,201,0,37.5,0.62,45.40644,43
NA,NA,11,11,236,0,18.1,0.31,20.84328,31
1.118,0.156,10.8,14,215,0.06,23,1.39,23.22036,78
1.221,0.159,10.7,17,234,0,26.2,5.1,27.97452,63
NA,NA,14.8,10,266,0,18,2.2,68.56096,65
NA,NA,11.3,14,250,0.26,24.9,1.18,58.17224,59
NA,NA,11.4,14,249,0.11,21.8,0.99,57.82008,60
NA,NA,11.3,14,253,0.33,23.8,6,54.82672,57
1.174,0.108,11.7,14,250,0.13,23.2,2.7,54.03436,59
NA,NA,11.6,14,250,0.13,25.5,2.45,54.5626,58
NA,NA,11.8,12,250,0.29,20.9,6.2,56.93968,59
1.201,0.11,11.8,13,249,0.3,20.7,7.1,52.44964,55
NA,NA,11.9,14,251,0.11,23.6,2.5,59.845,57
NA,NA,11.5,14,251,0.11,25.1,7.1,51.74532,58
NA,NA,12.3,11,250,0.26,19.7,7.7,52.97788,59
NA,NA,13.1,13,270,0.32,24.8,4.6,61.51776,60
NA,NA,12.6,13,266,0.23,21.4,4.1,57.2038,59
NA,NA,12.6,12,269,0.24,20.6,3.7,48.84,59
NA,NA,12.9,12,265,0.11,21.7,1,59.49284,61
1.243,0.105,11.8,15,274,0.18,23.2,1.36,55.17888,56
NA,NA,12.2,15,261,0.11,26.3,0.94,63.19052,57
NA,NA,13.6,9,254,0.15,17.3,2.33,63.54268,68
NA,NA,13.2,11,253,0.17,21.6,1.61,59.75696,63
NA,NA,13.7,10,250,0.13,18.6,1.8,62.22208,65
NA,NA,13.2,12,252,0.12,21.4,1.62,62.66228,63
1.308,0.086,10.7,11,446,0,9.1,0.42,10.71868,42
NA,NA,11.7,14,246,0.17,24.9,1.52,64.07092,56
NA,NA,13.3,10,260,0.12,19.2,1,56.67556,60
NA,NA,14.1,12,264,0,22.1,0.72,60.90148,62
NA,NA,13.3,14,265,0,33.8,0.45,60.19716,45
1.287,0.122,13.7,23,266,0.08,55,0.7,60.2852,53
NA,NA,13.7,10,271,0.03,20.8,0.42,58.61244,42
NA,NA,13.7,10,267,0.06,20.3,0.78,57.90812,66
NA,NA,13.6,22,267,0,55.6,0.45,68.03272,45
1.518,0.114,13.5,12,268,0.02,28.4,0.4,60.46128,40
1.274,0.092,13.6,13,268,0.04,25.2,0.1,61.95796,10
NA,NA,14.6,13,266,0,24.7,0.37,61.78188,37
NA,NA,12.3,9,285,0.36,19.2,4,52.44964,70
1.217,0.095,12.7,13,268,0.12,24.7,0.72,59.845,72
NA,NA,12.6,11,271,0.31,19.9,3,54.47456,69
NA,NA,15.8,13,255,0,19.2,0.32,41.26856,32
NA,NA,14.6,30,249,0.03,64.6,0.5,63.8068,40
1.166,0.114,14.9,19,249,0.07,38.4,0.5,64.51112,50
NA,NA,13,42,258,0,77.4,0.28,37.92304,28
NA,NA,14.2,12,249,0.17,23.4,1.34,61.69384,70
1.318,0.124,15.6,14,256,0,29.5,0.12,41.7968,12
NA,NA,15,19,247,0.08,44.7,0.46,64.51112,46
NA,NA,13.9,15,250,0.14,28.4,0.95,54.65064,55
NA,NA,13.8,12,248,0.17,22.9,2.11,54.82672,68
NA,NA,13.3,11,260,0.26,17.8,2,49.2802,78
NA,NA,12.7,15,249,0.21,23.4,1.33,51.9214,68
1.496,0.179,13.1,18,260,0,23.2,0.59,48.75196,59
1.108,0.131,12.5,17,262,0.1,23.8,1.1,51.39316,64
NA,NA,9.4,35,247,0,38.3,0.2,17.76188,20
NA,NA,6.9,10,297,0,4.5,0.5,5.61236,50
NA,NA,12.1,12,265,0,24.2,0.2,49.98452,20
NA,NA,6.5,13,296,0,19,0.32,19.25856,32
1.125,0.12,12.8,14,260,0.03,21.9,0.82,45.05428,53
NA,NA,13.4,12,261,0,20.2,0.2,50.1606,20
1.156,0.118,13.5,12,251,NA,19.6,0.53,46.90312,53
1.108,0.132,13.1,20,261,0,38.3,0.34,40.38816,34
NA,NA,13.5,13,249,0.11,21.1,1.81,48.3998,68
NA,NA,12.4,17,258,0.1,29.3,0.85,44.26192,56
NA,NA,12.6,14,250,0.13,28.5,0.48,58.70048,48
NA,NA,12.9,13,250,0,20.7,0.37,49.80844,37
1.433,0.175,13.3,13,249,0.02,24.3,0.39,47.87156,39
1.135,0.117,13.2,12,250,0.11,20.3,0.18,50.51276,18
NA,NA,13.5,17,250,0,56.4,0.15,52.53768,15
1.291,0.115,13.1,12,250,0.19,22,0.59,59.49284,59
NA,NA,13.2,14,259,0,24,0.34,32.02436,34
1.144,0.099,13.8,12,251,0.1,21.8,0.89,53.59416,60
NA,NA,13.6,12,251,0.13,24.1,0.61,47.69548,61
NA,NA,13.3,11,250,0.09,20.3,0.5,45.7586,50
NA,NA,13.1,14,250,0.29,22.9,5.4,55.35496,64
NA,NA,10.3,3,245,0,2.5,0.51,8.60572,51
NA,NA,8,11,289,0,10.8,0.45,2.35488,45
NA,NA,13.2,3,277,0,4.9,1.25,4.64392,NA
NA,NA,9.1,5,318,0,5.4,1.78,2.35488,138
0.787,0.067,8.6,3,308,0,2.3,0.43,NA,43
NA,NA,8.7,3,289,0,2.4,0.45,0.24192,45
0.745,0.068,9.8,4,254,0,2.7,0.67,NA,67
NA,NA,10.6,13,254,0.36,22,1.52,57.11576,64
NA,NA,10.3,14,275,0.55,24.3,4.3,51.041,58
NA,NA,10.4,14,268,0.47,24.6,4.5,51.65728,59
1.628,0.173,10.5,13,255,0.32,22,2.04,53.242,59
1.118,0.111,10.9,12,255,0.13,20.8,1.36,53.15396,68
1.184,0.121,11.3,15,255,0.22,26,1.44,60.90148,55
1.499,0.156,12,18,265,0.04,33.8,0.42,55.79516,42
NA,NA,10,10,242,0,11.5,0.54,21.45956,54
1.244,0.168,8.4,16,246,0,22.6,1,36.0742,54
NA,NA,9.8,5,678,0,6.3,0.97,38.62736,97
NA,NA,16.9,140,440,0,180.5,0.34,94.34104,28
NA,NA,13.4,14,465,0.4,21.4,5.2,71.09116,57
NA,NA,12.5,12,454,0.02,5.1,1.64,56.00536,48
4.749,0.132,12.9,15,463,0.57,22.4,5,72.511,72
NA,NA,13,13,461,0.64,22.8,6,74.7295,65
4.659,0.129,13.8,20,468,0.14,36.5,0.84,78.90028,48
NA,NA,14.1,19,468,0.17,34.6,3.2,71.00242,49
4.721,0.128,14.5,17,463,0.24,30,0.72,81.20752,54
NA,NA,15,20,462,0.07,33.3,0.33,80.23138,33
NA,NA,14.2,20,465,0.03,29.6,0.36,68.60644,36
4.29,0.122,13.6,16,463,0,15.9,0.52,26.45494,48
NA,NA,14.6,19,459,0.04,31.2,0.36,65.50054,36
NA,NA,15.6,21,444,0.07,39.4,0.7,101.52898,52
NA,NA,15.8,13,445,0.26,23.2,2.9,73.13218,63
1.314,0.272,0.7,9,413,0,6.2,0.4,9.77182,40
0.863,0.12,6.4,4,303,0,5.6,1.84,16.78228,119
1.541,0.232,2.8,4,360,0,8.9,0.34,19.35574,34
NA,NA,7.3,3,292,0,2.7,0.79,7.19836,79
NA,NA,8.9,4,292,0,3.8,0.51,15.98362,51
NA,NA,12.4,14,448,0.12,23.6,1.37,53.60938,58
NA,NA,20,5,394,0,4.7,0.93,12.1678,68
NA,NA,9.6,7,447,0,9.4,0.48,12.96646,48
NA,NA,12.7,16,446,0.03,26,1.02,64.34692,49
4.182,0.13,11.9,20,443,0.22,20.4,4,52.18954,78
4.723,0.15,14.1,22,442,0,43.3,0.66,89.28286,38
NA,NA,14.6,33,436,0,60.6,0.3,73.13218,30
NA,NA,12.9,15,443,0.08,23.6,1.38,47.30884,63
NA,NA,9.8,11,442,0,15.3,2,29.0284,56
NA,NA,11.1,12,441,0,16.9,2.5,39.85468,73
3.775,0.134,10.7,14,439,0.08,21,2.27,37.72492,63
1.28,0.184,10.3,3,440,0,1.9,0.95,12.6115,95
NA,NA,12.3,10,429,0.06,12.9,4.2,43.6705,72
NA,NA,12.4,15,430,0.24,20.4,4.2,60.79732,59
NA,NA,11.5,12,425,0.16,17.4,6.9,53.4319,61
NA,NA,12.5,16,431,0.25,18.1,7.1,60.9748,60
4.102,0.145,13.3,21,433,0,23.5,0.34,74.99572,34
NA,NA,9.3,13,349,0,12.4,2.31,72.86596,55
NA,NA,5.9,6,453,0,5.7,0.77,10.48174,77
4.201,0.08,15.4,13,441,0.15,16.5,4,68.9614,69
3.592,0.08,9.8,9,464,0,8.8,0.39,26.63242,39
NA,NA,12.4,12,447,0.1,17.3,2,63.99196,62
NA,NA,14,17,435,0.04,23.4,0.4,59.11126,40
NA,NA,13.4,42,437,0,49.5,0.59,52.18954,40
NA,NA,7,10,402,0,8.8,0.45,17.4922,45
2.002,0.381,7.3,12,426,0,18.5,0.44,27.87478,44
4.198,0.102,12.3,15,430,0.26,20.3,4.4,70.38124,63
4.304,0.101,14.4,17,434,0.29,23.7,6,69.76006,60
4.728,0.101,12.7,13,462,0.2,17.4,1.43,53.16568,51
NA,NA,15.8,14,424,0.17,20,1.46,57.60268,57
4.198,0.108,13.2,17,435,0.36,22.6,4.1,64.79062,61
NA,NA,12.8,18,443,0.16,26.7,1.88,70.11502,57
NA,NA,13.9,18,438,0.26,28.1,1.6,77.92414,56
NA,NA,13.8,16,438,0.26,28.4,4,81.385,59
NA,NA,14.1,21,437,0.21,29.1,1.36,79.07776,58
3.987,0.099,12.9,17,432,0.3,20.8,4.2,73.04344,58
NA,NA,15.2,13,423,0.11,19.5,3.6,51.12466,62
NA,NA,1.2,7,629,0,8.1,0.7,23.97022,55
1.184,0.282,0.5,5,628,0,6.4,1.06,15.80614,NA
3.62,0.108,9.8,13,422,0.13,15.9,4.8,48.01876,68
2.126,0.18,7.7,4,392,0,6.3,0.63,18.02464,63
NA,NA,5.8,6,427,0.02,7.7,1.26,23.2603,115
1.824,0.295,1.1,4,438,0,9.7,0.32,7.19836,32
2.792,0.15,3.2,4,440,0,5.8,0.26,9.59434,26
3.666,0.131,10.6,6,427,0,5.5,0.57,19.17826,57
NA,NA,11.8,13,423,0.12,16.4,1.81,40.47586,68
NA,NA,10.6,13,417,0.03,19.5,0.91,48.72868,65
NA,NA,9.1,10,419,0,10.1,0.82,28.141,72
3.49,0.108,11.1,16,421,0.07,17.3,0.96,45.97774,63
NA,NA,11.2,21,425,0.37,26.6,1.48,63.99196,58
NA,NA,9.4,15,429,0.01,18.6,1.6,41.09704,62
NA,NA,7.7,30,437,0,17.8,0.4,66.2992,40
NA,NA,5.4,5,423,0,2.2,0.66,9.41686,66
3.647,0.101,12,17,422,0.12,20.8,0.68,55.11796,68
NA,NA,9.7,11,427,0.09,13.5,1.1,44.02546,85
NA,NA,10.8,16,423,0.11,24.9,1.53,50.14852,72
NA,NA,6.5,8,223,0,15,0.32,23.88148,32
NA,NA,5.6,6,434,0,5.1,0.51,19.7107,51
NA,NA,6.6,2,434,0,0.9,1.34,7.64206,134
NA,NA,5.3,4,450,0,3.1,0.62,11.81284,62
2.701,0.141,5.7,6,451,0,13.4,0.4,26.54368,40
NA,NA,9,7,425,0,6.6,1.58,28.40722,101
NA,NA,7.9,6,421,0,6.9,0.72,14.83,NA
NA,NA,3.5,8,464,0,16.9,0.38,18.46834,NA
3.642,0.165,9.9,21,439,0,37.1,0.53,53.16568,NA
NA,NA,5.7,12,436,0,7.6,1.2,20.33188,86
NA,NA,5.8,9,435,0.1,8.9,2.1,23.704,84
NA,NA,10.3,11,434,0.15,13,3.6,48.72868,67
3.161,0.104,6.6,8,441,0.08,7.4,2.4,14.12008,69
NA,NA,9.9,13,432,0.18,16,2.8,41.80696,63
NA,NA,8,16,440,0.08,19.9,1.4,38.7898,47
3.672,0.099,8.1,12,438,0.06,12.6,4.5,31.33564,60
3.33,0.093,6.7,12,432,0.11,8.5,1.62,17.9359,68
3.338,0.091,8.1,9,426,0.13,6.1,2.78,22.72786,99
NA,NA,6.5,8,429,0.14,6.9,2.6,20.95306,86
3.434,0.113,6.8,11,430,0.13,8.5,2.54,22.90534,87
NA,NA,6.5,8,430,0.16,6.1,5.3,15.53992,102
NA,NA,6.7,7,429,0.16,5.7,6.2,14.83,112
3.403,0.107,8,7,428,0.24,7.2,9.1,27.6973,109
3.535,0.1,8.2,10,428,0.24,10.8,5.1,36.92626,83
NA,NA,8.6,9,426,0.28,11.6,5.6,35.6839,83
NA,NA,9.1,10,424,0.12,11.1,2,28.49596,100
NA,NA,10.6,9,423,0.16,9.3,1.8,26.18872,83
NA,NA,7.8,7,423,0.06,7.7,1.7,16.87102,105
NA,NA,9.2,7,421,0.12,6.3,1.45,18.73456,95
NA,NA,6,7,389,0,7.8,0.69,39.2335,55
NA,NA,2.3,5,380,0,4.3,0.58,12.34528,58
NA,NA,7.8,20,412,0.35,25,3.4,57.69142,48
NA,NA,6.2,13,402,0,11.3,0.65,35.2402,52
NA,NA,7.8,17,410,0.03,20.5,0.69,36.92626,53
3.568,0.133,7.7,21,411,0.17,25.9,0.58,41.80696,49
NA,NA,8.2,22,409,0,32.4,0.35,43.40428,35
3.561,0.14,8.1,20,411,0.35,25.6,0.65,35.77264,49
3.505,0.127,8,23,411,0.31,26.5,0.85,41.71822,51
NA,NA,8.1,21,409,0.34,23.4,1.61,40.20964,52
NA,NA,8,19,408,0.37,23.1,2.3,40.47586,60
3.567,0.134,8.7,18,409,0.11,23.1,0.85,44.82412,54
NA,NA,3.3,4,345,0,5.7,0.44,17.0485,44
NA,NA,8.6,13,411,0.2,18,1.66,42.69436,68
3.328,0.104,8.3,10,409,0.14,11.4,1.67,28.67344,78
3.234,0.128,8.5,10,406,0.17,14.4,0.93,41.54074,78
NA,NA,10.9,10,407,0,19.8,0.99,274.3945,65
NA,NA,8.2,12,406,0.14,13.5,2.55,29.82706,72
2.611,0.121,6,2,425,0.05,1.3,0.96,9.23938,92
0.816,0.14,7.5,1,387,0,1.8,1.31,7.55332,115
2.564,0.196,5.9,11,398,0,14.3,0.82,32.31178,72
NA,NA,10,10,393,0,8.9,0.43,26.63242,43
NA,NA,10.2,11,341,0,15.4,1.63,74.37454,64
NA,NA,9.5,14,354,0,21.1,1.23,81.385,63
NA,NA,5.8,17,321,0,24.5,0.58,61.50724,58
NA,NA,1.6,5,305,0,10.6,0.56,21.84046,56
NA,NA,7.7,11,384,0.03,9.6,1.3,36.92626,88
NA,NA,8.1,9,382,0.04,10.7,0.9,29.20588,83
NA,NA,6.7,7,356,0,5.9,0.69,30.98068,69
1.106,0.245,8.9,15,327,0,27.6,0.71,80.40886,59
NA,NA,1.7,7,460,0,26.1,0.69,142.1719,NA
NA,NA,0.6,22,1192,0,40.2,0.7,92.21128,NA
NA,NA,1,4,862,0,11,0.78,22.55038,NA
NA,NA,0.9,6,454,0,22.9,0.8,NA,NA
1.356,0.456,3.8,8,448,0,12.7,0.82,41.09704,45
NA,NA,2.3,5,401,0,11.6,0.58,57.8689,58
0.956,0.265,5.8,3,463,0,4.2,2.6,23.704,113
NA,NA,5.5,5,459,0,4.6,3.2,19.79944,90
NA,NA,9.3,7,437,0.34,9.5,1.65,4.5872,110
3.47,0.137,8.7,10,421,0.08,12.4,1.28,5.44124,95
NA,NA,8.9,7,437,0.4,9.1,3.1,4.27664,136
3.608,0.127,9,8,439,0.25,9.9,2.4,5.13068,118
NA,NA,8.8,6,446,0.2,8.5,1.38,3.50024,138
NA,NA,9,6,441,0.32,8.5,1.91,4.74248,116
3.795,0.116,8.9,7,441,0.25,9.1,1.74,4.35428,125
3.694,0.126,9.1,6,440,0.3,7.4,1.31,4.5872,131
3.68,0.117,8.9,6,440,0.29,7.6,0.84,4.5872,84
NA,NA,11.3,10,435,0,12.6,0.41,6.99404,41
3.655,0.132,10,5,437,0.12,6.8,0.55,5.3636,55
2.99,0.144,7,18,442,0,22.4,0.35,4.50956,35
NA,NA,10.9,3,433,0,4.5,0.37,5.05304,37
3.684,0.122,9.2,7,435,0.2,8.1,1.4,5.59652,125
3.296,0.1,9.5,3,412,0.06,2.1,0.86,2.56856,86
NA,NA,8.3,5,421,0.27,6.7,1.58,2.95676,158
NA,NA,8.2,4,409,0.12,3.6,1.52,1.94744,152
3.183,0.115,8.3,5,409,0.24,5.5,1.98,2.258,135
NA,NA,14.6,16,498,0,23.5,0.36,9.09032,36
NA,NA,9.6,2,406,0.02,1.6,1.11,2.18036,111
NA,NA,8,5,410,0.2,5.4,1.5,2.33564,149
NA,NA,8,5,411,0.18,5.7,1.82,2.56856,143
NA,NA,9.2,4,412,0,2.3,0.62,2.02508,62
NA,NA,9.7,3,417,0.11,3.5,1.23,4.04372,123
3.46,0.148,9.6,15,419,0.14,23.6,0.85,5.90708,85
NA,NA,12.1,3,417,0.16,2.5,1.03,3.26732,103
3.29,0.118,9.8,5,418,0.2,3.9,1.27,3.34496,127
NA,NA,10.3,5,416,0.19,4.8,5.4,4.82012,156
NA,NA,9.1,5,430,0.23,5.3,1.25,3.73316,125
3.33,0.113,9.4,1,429,0.07,0.1,1.22,2.10272,122
3.36,0.096,9,2,432,0.14,2.3,1.72,1.94744,172
NA,NA,9.4,3,433,0.06,1.4,1.5,3.34496,150
NA,NA,8.6,4,447,0.12,6.8,0.9,3.50024,90
NA,NA,9,5,447,0.03,4.8,1.16,3.50024,116
NA,NA,8.7,8,452,0.13,8.8,1.9,4.43192,80
3.714,0.115,9.3,3,446,0.06,2.9,1.05,2.80148,105
NA,NA,7.8,2,435,0.13,1.8,2.03,2.258,203
NA,NA,8.1,3,432,0.05,3.1,1.3,3.0344,130
NA,NA,8.4,4,428,0.11,4.4,2.43,2.56856,160
NA,NA,8.6,4,421,0.3,4.9,5.1,2.87912,200
NA,NA,8.6,4,420,0.27,4.1,6.8,2.87912,190
3.272,0.115,8.4,5,425,0.12,6.2,1.9,2.33564,180
NA,NA,8.2,3,429,0.12,3.4,4.5,2.41328,187
3.368,0.124,8.4,3,428,0.16,3.2,1.88,2.10272,188
NA,NA,9.1,5,431,0.29,4.6,4,2.49092,169
3.58,0.119,9,4,441,0.19,4.3,8.4,2.33564,195
NA,NA,8.5,4,423,0.3,3.9,10.3,2.258,190
NA,NA,8.6,4,423,0.35,5.4,5.7,3.18968,183
NA,NA,12.6,1,420,0.04,0.2,1.18,2.02508,118
NA,NA,8.8,5,429,0.35,6.8,4.1,3.4226,128
NA,NA,8.5,3,416,0.12,3.8,1.75,NA,175
3.601,0.126,9.5,7,450,0.49,7.6,9,6.21764,139
NA,NA,9,6,443,0.56,7.8,5.7,5.20832,111
NA,NA,8.6,6,430,0.25,6.7,0.36,3.4226,36
NA,NA,8.7,6,433,0.18,6.8,2.8,3.57788,133
NA,NA,9,5,452,0.14,5.9,2.87,3.73316,148
3.429,0.118,9,6,442,0.6,7.1,6.3,4.66484,138
NA,NA,9.2,6,451,0.54,6.8,3.6,5.05304,145
3.522,0.128,9.2,5,451,0.3,6.1,1.16,5.05304,116
NA,NA,8.8,5,431,0.16,6,2.6,4.04372,145
NA,NA,9.1,5,451,0.24,6.6,7.7,5.05304,140
NA,NA,9,8,450,0.12,9.7,0.95,5.59652,95
0.431,0.042,14.6,2,489,0,2.5,0.52,3.0344,52
NA,NA,13.8,17,483,0,31.7,0.7,9.2456,70
NA,NA,13,2,374,0,0.9,0.48,3.88844,48
NA,NA,6.7,NA,437,0,NA,0.15,NA,15
NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA
NA,NA,7.1,3,438,0,3.9,0.51,3.11204,51
3.317,0.115,8.5,5,438,0.17,5.5,1.58,4.9754,158
3.263,0.1,6.5,2,439,0,2.4,0.35,2.10272,35
NA,NA,10.1,2,434,0,2.7,0.65,7.45988,65
NA,NA,8.6,2,436,0,2.2,0.54,3.18968,54
3.392,0.118,9.4,5,434,0.23,4.9,0.54,4.9754,54
NA,NA,9.9,11,431,0,20.9,0.27,8.93504,27
3.405,0.114,9.4,5,436,0.29,6,0.97,5.3636,97
NA,NA,5.1,NA,428,0,NA,0.28,NA,28
NA,NA,8.9,2,428,0,2.3,0.31,18.25184,31
NA,NA,9.1,6,426,0.21,9.2,0.68,5.13068,68
NA,NA,9.3,5,429,0.33,7.5,1.97,5.13068,126
NA,NA,8.9,3,433,0,2.4,0.27,3.0344,27
NA,NA,9.3,15,434,0,28.5,0.24,9.32324,24
NA,NA,9.7,5,434,0.15,5,1.15,5.51888,115
NA,NA,8.9,NA,433,0,NA,0.22,NA,22
NA,NA,9.4,5,432,0.15,2.8,1.35,5.13068,135
NA,NA,10.2,4,409,0.22,4.1,2.2,3.18968,165
NA,NA,10.7,5,444,0,4.9,0.4,3.18968,40
NA,NA,10.2,6,440,0,7,0.45,5.82944,45
NA,NA,10,5,436,0,5.8,4.4,3.34496,140
2.985,0.112,10.2,5,418,0.14,5.5,1.5,3.65552,125
NA,NA,10.7,11,414,0,17.9,0.43,6.14,43
3.063,0.108,10,5,415,0.04,7.2,0.87,3.73316,87
NA,NA,9.2,5,422,0.04,6,6.4,4.50956,120
3.321,0.115,10,5,433,0.41,5.4,4.8,3.50024,110
NA,NA,10.1,5,433,0.46,5,4.3,3.50024,133
NA,NA,10.3,4,435,0.38,4.9,6.2,3.88844,143
NA,NA,10.4,4,429,0.18,4.3,2.3,3.88844,145
3.406,0.104,10.2,5,439,0.44,5,4.2,3.4226,125
3.051,0.116,10.3,5,425,0.23,4.7,0.62,3.8108,62
NA,NA,10.3,5,424,0.2,4.8,0.5,3.73316,50
NA,NA,10.9,6,422,0,8.1,0.4,6.29528,40
NA,NA,8.3,NA,428,0,NA,0.2,NA,20
NA,NA,9.7,6,422,0,6.1,1.15,3.88844,115
NA,NA,10.1,6,422,0,8.8,0.41,5.20832,41
NA,NA,7.9,7,434,0,8.9,0.35,3.96608,35
NA,NA,10,6,423,0.06,6.3,1.3,4.5872,130
2.775,0.098,7.6,3,434,0,3,0.45,2.95676,45
2.822,0.155,9.7,12,426,0,18.3,0.26,5.44124,26
NA,NA,10.2,5,425,0.16,4.5,1.18,3.96608,118
NA,NA,9.4,7,425,0,12.6,1.18,5.44124,118
NA,NA,7.5,19,435,0,30.2,0.27,5.44124,27
NA,NA,9.7,73,434,0,179.5,0.31,35.95376,31
2.837,0.136,10.4,10,432,0,14.7,0.46,5.05304,46
1.475,0.131,10.1,5,418,0,6.1,0.65,18.87296,65
NA,NA,8.8,NA,342,0,NA,0.2,NA,20
NA,NA,3.2,5,435,0,12.5,0.3,6.37292,30
2.778,0.119,10.3,6,425,NA,5.8,1.08,3.96608,108
NA,NA,11.8,3,421,0,3.4,0.45,3.73316,45
NA,NA,10.5,5,425,NA,5,2.07,4.50956,156
NA,NA,10.3,5,424,NA,6,1.26,4.43192,126
NA,NA,10.8,3,426,NA,2,0.85,3.11204,85
NA,NA,7.8,3,423,0,2.8,0.2,5.28596,20
0.963,0.127,8.5,10,392,0,14.4,0.3,6.99404,30
3.095,0.1,5.5,6,451,0,5.9,0.4,9.16796,40
NA,NA,7.6,9,372,0,6.3,0.28,5.3636,28
0.75,0.069,11.9,3,285,0,4.3,0.63,26.01584,63
NA,NA,11.2,5,291,0,7.7,1.8,29.432,115
0.687,0.06,12.2,4,285,0,5.5,0.86,29.58728,86
NA,NA,12,4,286,0,5.1,1.23,28.2674,123
NA,NA,5.5,29,396,0,33.7,0.23,59.86688,23
0.463,0.062,11.8,2,300,0,2.6,0.72,9.32324,72
NA,NA,10.4,12,354,0,24.1,0.27,16.69904,27
2.519,0.094,11.2,4,380,0.17,2.8,0.4,5.44124,40
NA,NA,14.9,5,341,0,2.7,0.38,5.67416,38
2.567,0.11,10.7,4,398,0.15,3.5,0.55,5.05304,55
NA,NA,5.9,3,759,0,0.9,0.48,2.72384,48
NA,NA,8.5,6,601,0,8.5,0.99,55.28612,99
NA,NA,10.4,8,621,0,12.1,2.07,90.06884,98
0.968,2.496,7.9,2,1327,0,3,0.48,15.92264,48
NA,NA,5.1,4,545,0,4.3,0.39,21.2798,39
NA,NA,2.4,8,455,0,5.9,0.48,5.28596,48
1.331,0.215,3.2,4,609,0,1.1,0.36,2.56856,36
NA,NA,5.7,2,1079,0,1.8,0.58,8.70212,58
NA,NA,7,1,1077,0,1.5,0.44,5.59652,44
5.142,3.325,4.5,8,1380,0,14.7,0.59,35.09972,59
NA,NA,14.2,3,468,0.05,2.3,3.43,6.75619,100
NA,NA,14.5,3,476,0.12,2.6,1.53,8.13575,112
NA,NA,14.3,4,476,0.1,2.3,2.79,6.54395,153
NA,NA,13.9,4,477,0.07,2.6,6.58,6.96843,105
3.114,0.057,14.3,3,479,0.11,2.1,0.42,7.49903,62
NA,NA,14.4,4,483,0.22,2.2,6.8,9.09083,116
NA,NA,14,4,478,0.1,2.4,2.02,7.81739,113
NA,NA,14.2,4,480,0.13,2.2,2.77,7.81739,113
3.116,0.055,14,3,478,0.1,2.4,1.25,8.34799,105
NA,NA,14.1,5,413,0.18,2.3,1.71,7.49903,100
