"TN","TP","DO","TURB","COND","VEL","SS","WDP","CHLcal","SECCHI"
3.701,0.226,8.5,19,539,0.1,20,5.8,24.65002,47
3.552,0.219,9.7,18,543,0.04,17.2,6,26.90206,42
3.735,0.214,10.2,15,530,0.04,14.6,5.6,23.36314,50
3.755,0.216,9.8,12,534,0.06,12.8,3.6,19.01992,65
3.726,0.212,10.5,15,534,0.06,14.8,6.3,21.43282,50
NA,NA,8.8,13,559,0.11,12,8.9,14.03326,59
NA,NA,8.6,13,563,0.07,12.4,10.4,17.97433,61
NA,NA,9.2,12,560,0.1,10.4,9.5,13.22896,64
4.087,0.221,9.6,8,549,0.05,9.4,9,15.80272,63
3.977,0.226,9.6,8,548,0.06,7.8,9.5,14.43541,67
NA,NA,6.3,21,558,NA,20.7,8.7,10.73563,52
NA,NA,6.8,11,556,NA,9.5,10.2,10.33348,78
3.393,0.221,6.9,7,550,NA,11.2,11,9.93133,77
3.301,0.231,6.4,9,554,NA,12.1,8.7,8.40316,80
NA,NA,6.4,6,554,NA,9.5,7.4,8.56402,74
NA,NA,6.7,7,556,NA,12.6,3.9,9.44875,79
3.478,0.234,6.8,14,550,NA,13,3.8,8.88574,75
NA,NA,6.8,7,554,NA,11.3,2.3,8.80531,86
3.508,0.234,7,12,550,NA,10.8,2.5,9.69004,73
3.175,0.225,6.9,10,554,NA,8.8,4.6,9.60961,82
3.621,0.225,6.8,12,556,NA,10.7,4.9,9.93133,82
3.323,0.205,6.8,12,552,NA,12,9.8,10.25305,73
3.521,0.229,6.7,14,555,NA,13.8,2.5,11.13778,70
2.911,0.197,7.3,14,442,0.41,14.6,0.8,10.81606,69
NA,NA,7.4,12,442,0.39,13.6,1,10.73563,87
2.677,0.189,7.3,24,470,0.04,30.3,1,13.47025,47
2.751,0.186,7.7,18,456,0.2,23.9,1.1,13.63111,51
NA,NA,7.7,13,455,0.39,17.2,1.5,11.53993,70
2,0.175,7,21,320,0.13,30.6,1.5,14.99842,48
NA,NA,7.6,15,444,0.29,21,1.2,12.82681,68
NA,NA,6.5,20,279,0.18,24.6,1.7,13.30939,59
NA,NA,7.6,15,430,0.34,22.1,1.2,12.10294,72
2.756,0.181,7.5,14,430,NA,20.8,0.8,11.78122,67
NA,NA,7.4,13,428,0.57,16.5,0.9,12.58552,71
1.837,0.199,7,15,286,0.26,22.1,1.1,11.78122,56
NA,NA,7,21,350,0.12,33.4,0.5,14.11369,50
2.661,0.228,7.2,21,376,0.3,30,0.8,14.11369,51
2.378,0.208,6.2,20,252,0.09,23.8,0.7,13.14853,45
1.241,0.23,2.8,15,271,0.02,20.4,0.6,5.90983,60
NA,NA,10.5,20,605,0.01,19.3,6.8,25.51558,48
NA,NA,10.6,24,591,0.05,22.8,8.8,27.5175,43
NA,NA,10.6,26,594,NA,25.6,8.2,30.04166,40
3.217,0.189,10.8,30,593,NA,32.4,7.6,31.08614,39
3.708,0.173,11,22,596,NA,21.6,1,35.26406,43
3.864,0.182,10.5,32,601,NA,33.2,6.5,35.61222,35
NA,NA,10.2,26,607,NA,26,4.6,33.95846,38
NA,NA,11.8,22,603,NA,20.3,4.3,41.18278,42
NA,NA,12,23,600,NA,20.8,3.9,39.87718,46
3.622,0.197,11,33,585,NA,35,3.4,38.91974,34
NA,NA,11.3,32,589,NA,38.9,3.2,36.13446,35
NA,NA,11.6,51,578,NA,58,1.8,45.88294,26
NA,NA,11.3,20,603,NA,30.5,0.7,35.43814,47
3.856,0.181,11.1,25,605,NA,33.5,1.4,31.26022,47
3.979,0.177,11.2,23,606,NA,27.6,2.6,34.13254,45
3.783,0.168,12.1,18,597,NA,18.2,5.1,44.14214,53
3.624,0.177,12.2,17,586,NA,17.4,8.3,35.17702,50
NA,NA,8.7,8,615,NA,5.8,7.4,16.11526,105
NA,NA,10.1,13,605,NA,11.5,8.3,20.64134,57
4.07,0.149,10.6,13,605,NA,11.4,9,22.55622,50
3.815,0.151,10.8,14,605,NA,10.4,7.4,22.90438,52
3.957,0.168,9.4,12,610,NA,9.2,1.9,18.3783,61
4.383,0.159,10.6,9,605,NA,8.1,7.2,16.72454,64
2.929,0.159,9.8,11,615,NA,9.5,1.5,15.50598,71
4.036,0.19,11,12,595,NA,11.2,7.8,24.64518,61
NA,NA,11,15,605,NA,14.1,9.2,27.25638,50
4.132,0.159,11,12,608,NA,10.5,8.5,25.16742,66
NA,NA,10.7,12,608,NA,NA,9,20.9895,68
NA,NA,10.4,7,610,NA,5.9,7.3,9.41318,88
NA,NA,9.7,8,613,NA,6,10.2,12.54662,103
3.962,0.166,10.1,8,620,NA,6.5,11.8,11.58918,79
3.957,0.177,10.5,8,603,NA,5.8,4.9,10.80582,76
3.596,0.137,12.9,8,530,NA,7,0.6,21.68582,63
3.894,0.18,9.6,11,593,NA,9.9,6.4,15.15782,71
3.621,0.166,9.5,10,591,NA,8.9,3.7,13.50406,80
NA,NA,10.6,10,443,NA,9.6,3.7,21.8599,90
3.417,0.169,11.7,17,586,NA,26.6,4.2,33.34918,56
3.605,0.169,11.8,21,582,NA,27.2,6.4,33.1751,50
NA,NA,11.9,19,588,NA,25.9,4.9,33.69734,50
4.1,0.17,11.7,20,583,0.2,30,0.4,34.74182,39
4.262,0.162,11.6,19,580,0.12,29.2,1,34.0455,43
3.948,0.159,11.9,19,583,NA,26.2,3.7,36.04742,42
NA,NA,12,24,578,NA,27.1,4.1,42.57542,59
4.068,0.156,11.2,20,579,NA,28,1.8,35.43814,50
3.893,0.158,11.2,20,576,NA,26.3,1.4,36.39558,46
NA,NA,11,19,567,NA,25.6,1.4,32.65286,49
NA,NA,11.8,49,547,0.01,80.2,0.5,72.08198,19
2.649,0.237,10.7,71,520,0.01,72.9,0.8,86.35654,17
NA,NA,12.6,160,490,0.01,280.8,0.7,129.09318,10
NA,NA,11.6,28,572,NA,36.9,4.3,34.74182,37
NA,NA,12.4,24,568,0.05,36.7,0.8,40.22534,45
4.49,0.187,11.9,28,572,0.09,42.3,1.2,40.74758,42
3.608,0.157,12.9,20,569,0.04,28.4,0.6,38.57158,55
NA,NA,13.1,40,574,0.06,97.6,0.6,58.76486,40
3.468,0.16,11.5,22,582,0.12,30.5,0.4,39.79014,40
3.314,0.164,11.6,20,584,NA,26.1,0.8,55.28326,47
3.465,0.164,11.4,20,584,NA,26.5,5.5,38.48454,42
NA,NA,11.7,20,586,NA,26.3,7,34.13254,51
NA,NA,11.6,22,589,NA,24.8,5.5,37.26598,46
4.13,0.184,11.1,22,586,NA,29.1,2.9,30.04166,46
NA,NA,11.2,21,589,NA,26.3,1.4,31.52134,50
NA,NA,10.9,24,610,NA,28.7,3.1,31.34726,41
NA,NA,10.9,25,606,NA,31.5,8.2,30.9991,43
NA,NA,10.9,24,611,NA,30.8,7.6,32.82694,41
